LS_Pred,Crash cause
2.177975359540333,2
2.126380753757719,4
1.4223273368829819,4
2.3837094899788087,4
2.118666104702493,2
2.0086245922016324,4
1.5347462174038298,4
1.883656610446571,4
1.5771287000951233,2
2.0240612141570176,4
2.4493073664113796,4
1.8781091396584557,4
2.524040336712857,4
1.9989288771077476,4
2.3887111181765968,4
1.6103399254750062,5
2.2725799682628134,4
1.6774796751846768,4
1.8173773607289943,2
1.5335471361846935,5
1.6806733281176027,4
2.437099412717276,4
2.5963564393702283,2
1.6436844866500255,4
2.0038341494176395,4
1.9715458903534095,2
2.587618762691065,4
2.104617835709589,4
1.6041455763600059,4
2.1615206726291802,4
1.8313548647961464,4
2.1285314797357975,4
1.5641249365748249,2
1.9655840297426102,4
2.243869936613449,4
1.6917614260670262,2
2.1291633812804456,2
2.135856393794781,2
1.7176729711772518,4
2.005258735479777,4
1.5692373495955962,2
1.6240350835272783,2
1.921236534651217,2
2.356209331878655,4
2.106694907316114,4
2.2405080854991093,4
1.9816977384267906,4
1.5135375123400365,2
1.7572184589665152,4
1.5765091164933402,2
2.0880797107368823,2
2.162154261351377,0
2.5707226647514556,4
2.0186742946955385,2
2.3125228292183517,4
1.8903918837277893,2
2.1874593911063474,2
1.9819311174199574,2
2.3588627293492483,4
2.1815138044789575,4
2.0273372470923303,2
1.8083105993788315,4
1.985679886959544,4
2.3359844680392294,4
1.7661860976566681,4
1.6914637174018399,4
2.1333734551520354,4
2.0548298400113127,2
2.043884321454545,1
1.9317057454591893,1
1.8671765669696223,4
0.9364662360094906,4
1.8812459408777649,2
1.7739876816467757,4
2.0280706161521946,4
2.230899344375985,4
1.3299617032956588,4
1.9958590611056741,4
2.0576924388314675,4
1.5672967423876951,4
1.4011657352223015,4
2.026946001871034,2
2.551257276414432,4
2.3558317386593526,0
2.519369533385812,4
2.0273372470923303,2
2.4590454977111644,4
2.1844705287989465,2
2.6284879874045495,2
2.413318048060324,0
2.005258735479777,2
2.4837676624422693,5
2.4163821682526914,0
1.7936773312081402,2
2.2370551711423587,4
1.9803264038028798,4
2.171890642206727,4
1.718284112060472,4
2.2785189113087476,5
1.374358752373235,4
2.0939514104452623,4
1.5927563401795326,1
1.8172062552121164,4
2.1973915631625607,5
1.9658505010506335,4
2.513503100479917,2
1.610733005953669,4
1.978193691577373,4
2.1997636121230975,4
1.8880001599439855,2
2.171479911230162,4
2.034602087270724,2
2.1076461251862386,2
1.5530219466235293,2
1.8146913670670917,0
2.2203129451679775,4
2.27430152850612,5
1.6147877290478059,4
2.534585675524468,4
1.6176691522841558,4
2.0624167596804153,4
1.7193435978463665,2
1.4424788831859454,0
1.8220011381317995,4
2.1588551493359436,4
1.6929699578087285,2
1.875709859800649,4
1.8672510298538283,4
2.5963564393702283,0
2.0568642053723805,4
1.5728331473865553,4
1.593819738856174,4
1.9606710285577393,0
1.9010218912573928,0
2.1096390941136622,0
2.5614126765769405,4
1.6517117532058916,4
1.9968548501980168,4
2.163687177302565,4
1.9140199834791518,0
2.65628763455431,0
1.6382033150734503,4
1.8477344234459299,4
1.8137367305815033,4
2.1513133028362668,2
2.1799252606065305,4
1.5561830987825565,2
1.9293762618517265,2
2.120261132802111,4
2.0014168662512506,2
1.654405628486181,0
2.188793533381376,4
2.1703593738143425,0
1.889214846017678,4
1.69445419947903,4
2.381990231974275,0
2.027598419997016,2
1.6856256312528493,2
2.1437623465587023,4
1.5383774560212338,0
1.7606995139692265,2
1.2734138581061194,5
2.303510142931634,1
1.9293487781131609,4
1.9065110548657291,4
1.6842298806035692,5
2.0353069896231863,2
2.0861233529410756,4
2.1464931904943807,4
1.9083847880074631,2
1.9026566784113614,2
2.000814542373151,4
1.9907434413658152,4
1.6660662701217988,4
1.896676135872436,2
1.5303667959493126,2
2.5281180998405888,4
1.613666482193126,2
2.121950904541964,2
2.06159649038762,2
2.1026241240602905,2
1.8992134828444376,1
1.8552407839901093,4
1.9140199834791518,4
2.3621735404344846,4
1.7119509263488895,4
1.4149568286901981,4
2.539863124548719,0
1.875618995525588,2
2.1339853162089106,4
2.1980351626119075,4
1.9602343185078541,4
2.048947060182021,2
2.10655213561584,0
2.41252739882426,4
2.1000659924709795,4
1.5551699520797624,2
1.8968822220545742,4
1.530406489773829,2
1.422608436578559,2
2.0159436133919733,4
2.0363223337380942,2
2.0086245922016324,0
1.675534735724954,4
1.9307622094535328,2
2.310695600756324,4
2.2371252480775468,4
2.274834325280421,4
1.8173554594329133,4
2.0127263463849756,2
1.5307649480311083,2
2.113512560308286,2
1.6836301993686131,4
1.971248047191092,0
0.9321656417926505,4
2.3668304068849455,4
2.6035471667581938,2
1.7662676942291595,4
1.5809599459883263,4
2.436598426692567,2
1.7223176418897248,4
2.3600325313215134,1
2.281660841743587,2
1.9080750256511299,2
2.03926972206281,2
2.171768414030083,4
2.172574715390079,4
2.0498800672299904,4
2.238292183696868,5
0.826765670300853,4
2.0273372470923303,2
1.6635069431389433,2
2.4527836314917355,5
1.5526160592170146,4
1.935463032064988,4
1.6299889755501278,2
1.8634965889229398,2
2.187993064394573,4
1.9986091950801648,4
2.1538263772210953,2
1.593947215401002,2
1.4864862539508898,4
2.4165921563099952,4
1.5723086524384335,5
1.6889166998156266,4
1.8866721237764579,4
2.580372556771592,5
1.6314490960072296,4
2.4587459957212574,2
1.8477344234459299,0
2.566952217026416,4
1.6982179364680605,5
2.0274308401440266,4
1.6469341225529446,4
2.110944020585456,2
2.311545486179956,4
2.0444251845211543,5
2.030358189867461,5
2.2335147743225914,4
1.7149885485648855,4
1.6989787152648086,4
2.444952263724135,4
1.2413913573800004,0
2.410435742018206,4
2.4742703704300157,4
1.939089313167915,4
1.5329870246064292,4
2.147164928109057,0
2.2176425419312262,4
1.691211399272128,4
1.8259082462088174,4
2.2110998996195774,0
1.7195590423570195,4
1.7830882494743927,5
